answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Her profits will decrease.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>11. Carol owns a T-shirt shop in a busy tourist town. Because she has many competitors, she has no control over the price of T-shirts. If Carol's rent for the store space doubles, which of the following is most likely to occur?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Her profits will decrease.</span></span></div>
<div>B. <span class=""itemtext""><span>Her revenues will decrease.</span></span></div>
<div>C. <span class=""itemtext""><span>Her sales of T-shirts will increase.</span></span></div>
<div>D. <span class=""itemtext""><span>Her inventory will increase.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #10 E415801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Giving up current wages and benefits</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>12. Which of the following best describes an opportunity cost for a student who chooses to quit a full-time job to go to college?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Paying state and federal income tax</span></span></div>
<div>B. <span class=""itemtext""><span>Having a higher level of education</span></span></div>
<div>C. <span class=""itemtext""><span>Giving up current wages and benefits</span></span></div>
<div>D. <span class=""itemtext""><span>Paying for housing and meals</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #11 E415901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Fred can lose only $10,000, but Maria can lose more.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>13. Fred purchased shares of stock in a fast-food corporation for $10,000. Maria is sole proprietor of a fast-food restaurant that she purchased for $10,000. Which of the following statements best describes the maximum amount that Fred and Maria can lose on their investments?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Fred can lose only $10,000, but Maria can lose more.</span></span></div>
<div>B. <span class=""itemtext""><span>Maria can lose only $10,000, but Fred can lose more.</span></span></div>
<div>C. <span class=""itemtext""><span>Both Fred and Maria can lose only $10,000.</span></span></div>
<div>D. <span class=""itemtext""><span>Both Fred and Maria can lose more than $10,000.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #14 E416201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>When the additional benefits of expanding the program are greater than the additional costs</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>14. In which of the following situations would an economist recommend expanding an existing government program?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>When the total cost of the program is greater than the total benefits produced by the program</span></span></div>
<div>B. <span class=""itemtext""><span>When the total benefits produced by the program are greater than the total cost of the program</span></span></div>
<div>C. <span class=""itemtext""><span>When the additional benefits of expanding the program are greater than the additional costs</span></span></div>
<div>D. <span class=""itemtext""><span>When the additional costs of expanding the program are greater than the additional benefits</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #15 E416301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>The interaction of supply and demand</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>15. Resource allocation in competitive markets is primarily guided by which of the following?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The interaction of supply and demand</span></span></div>
<div>B. <span class=""itemtext""><span>Regulations established by governments</span></span></div>
<div>C. <span class=""itemtext""><span>Negotiations between labor unions and management</span></span></div>
<div>D. <span class=""itemtext""><span>Investment decisions made by commercial banks</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #16 E416401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Economic growth increases the demand for labor, thereby raising income levels.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>16. Which of the following is one way in which economic growth can help a nation reduce its poverty level and increase its standard of living?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Economic growth increases the demand for imports, thereby raising the demand for foreign exchange.</span></span></div>
<div>B. <span class=""itemtext""><span>Economic growth increases the supply of labor, thereby increasing wages.</span></span></div>
<div>C. <span class=""itemtext""><span>Economic growth increases disposable income, thereby decreasing the demand for luxury items.</span></span></div>
<div>D. <span class=""itemtext""><span>Economic growth increases the demand for labor, thereby raising income levels.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #17 E416501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>It has a lower opportunity cost in producing computers than do its trading partners.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>17.  Which of the following <span class=""stressed_text_3"">must</span> be true if a country has a comparative advantage in the production of computers? </br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>It has a lower opportunity cost in producing computers than do its trading partners.</span></span></div>
<div>B. <span class=""itemtext""><span>It has more workers producing computers than do its trading partners.</span></span></div>
<div>C. <span class=""itemtext""><span>It has less advanced technology in producing computers than do its trading partners.</span></span></div>
<div>D. <span class=""itemtext""><span>It imports more computers than do its trading partners.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #19 E416701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Encouraging business investment in equipment</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>18. Which of the following policies would most likely increase a country's long-term economic growth?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Encouraging more energy consumption</span></span></div>
<div>B. <span class=""itemtext""><span>Encouraging business investment in equipment</span></span></div>
<div>C. <span class=""itemtext""><span>Increasing government spending on retirement payments</span></span></div>
<div>D. <span class=""itemtext""><span>Increasing the growth of the money supply</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #2 E417001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>She must be out of work and actively looking for a job.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>19. Which of the following conditions must Marta meet to be counted as unemployed?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>She must be working part-time.</span></span></div>
<div>B. <span class=""itemtext""><span>She must have been fired from her previous job.</span></span></div>
<div>C. <span class=""itemtext""><span>She must have been out of work for at least eight weeks.</span></span></div>
<div>D. <span class=""itemtext""><span>She must be out of work and actively looking for a job.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #3 E417101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span><span class=""columnar-1"">Increase</span>            <span class=""columnar-2"">Decrease</span></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>20. <div class=""paragraph"">Suppose a large increase in government borrowing competes with private borrowing. What would most likely happen to interest rates and business investment?<br><br>          <span class=""stressed_text_3"">Interest Rates</span>     <span class=""stressed_text_3"">Business Investment</span></br></br></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><span class=""columnar-1"">Decrease</span>            <span class=""columnar-2"">Decrease</span></span></span></div>
<div>B. <span class=""itemtext""><span><span class=""columnar-1"">Decrease</span>            <span class=""columnar-2"">Increase</span></span></span></div>
<div>C. <span class=""itemtext""><span><span class=""columnar-1"">Increase</span>            <span class=""columnar-2"">Decrease</span></span></span></div>
<div>D. <span class=""itemtext""><span><span class=""columnar-1"">Increase</span>            <span class=""columnar-2"">Increase</span></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #6 E417401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>People's wants are greater than their resources.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>21. Which statement best explains why all countries face the problem of scarcity?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Governments spend too much money.</span></span></div>
<div>B. <span class=""itemtext""><span>Increases in inflation have an impact on economic choices.</span></span></div>
<div>C. <span class=""itemtext""><span>Changes in demand and supply occur.</span></span></div>
<div>D. <span class=""itemtext""><span>People's wants are greater than their resources.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #7 E417501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>2</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>22. <div class=""paragraph""><div class=""stdaln_stmt"">                             DARA'S SHOP</div><table class="" tbl_brdrs""><tbody><tr><th align=""center"" scope=""col"">Number of Workers</th><th align=""center"" scope=""col"">Total Revenue per Day</th></tr><tr><td align=""center"">1</td><td align=""center"">$200</td></tr><tr><td align=""center"">2</td><td align=""center"">$320</td></tr><tr><td align=""center"">3</td><td align=""center"">$400</td></tr><tr><td align=""center"">4</td><td align=""center"">$460</td></tr></tbody></table></div><br>Assume that the daily wage of a worker at Dara's Shop is $100 and that labor is the only cost of production at the shop. To earn the largest profit, how many workers should Dara hire?</br></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>1</span></span></div>
<div>B. <span class=""itemtext""><span>2</span></span></div>
<div>C. <span class=""itemtext""><span>3</span></span></div>
<div>D. <span class=""itemtext""><span>4</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #8 E417601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Corporation</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>23. Which of the following is a form of business organization that offers limited liability to its owners and helps them raise financial capital?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Sole proprietorship</span></span></div>
<div>B. <span class=""itemtext""><span>Monopoly</span></span></div>
<div>C. <span class=""itemtext""><span>Corporation</span></span></div>
<div>D. <span class=""itemtext""><span>Consultancy</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #12 E418001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>4 percent</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>24. Assume that the current interest rate is 7 percent and that the current rate of inflation is 3 percent. Under these conditions, which of the following is the real interest rate?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>3 percent</span></span></div>
<div>B. <span class=""itemtext""><span>4 percent</span></span></div>
<div>C. <span class=""itemtext""><span>7 percent</span></span></div>
<div>D. <span class=""itemtext""><span>10 percent</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #15 E418301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>A new dam floods half the farmland in Country Y.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>25. Country X and Country Y are trading partners. Country X has a comparative advantage in the production of cars. Country Y has a comparative advantage in the production of wheat. Which of the following events would most likely change the comparative advantages of these countries?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>A new dam floods half the farmland in Country Y.</span></span></div>
<div>B. <span class=""itemtext""><span>The price of bread in Country X decreases.</span></span></div>
<div>C. <span class=""itemtext""><span>Country X removes its tariff on automobiles.</span></span></div>
<div>D. <span class=""itemtext""><span>The value of Country X's currency increases.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #16 E418401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The supply of and demand for the country's currency</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>26. Under a flexible exchange rate system, the international value of a country's currency is determined primarily by which of the following in the foreign exchange market?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The educational achievements of the country's population</span></span></div>
<div>B. <span class=""itemtext""><span>The quality and availability of the country's technology</span></span></div>
<div>C. <span class=""itemtext""><span>The supply of and demand for the country's currency</span></span></div>
<div>D. <span class=""itemtext""><span>The strength of the country's industries</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #18 E418601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>MaxiBlast</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>27. <div class=""paragraph""><div class=""paragraph"">VIDEO ARCADE RENTAL FEES AND SALES</div><div class=""paragraph""></div><table cellpadding=""5"" class="" tbl_brdrs"" style=""text-align:center""><tbody><tr><th scope=""col""><span class=""stressed_text_1"">Name of</span><br><span class=""stressed_text_1"">Game</span><br><span class=""stressed_text_1"">Machine</span></br></br></th><th scope=""col""><span class=""stressed_text_1"">Rental Fee</span><br><span class=""stressed_text_1"">per Month</span><br><span class=""stressed_text_1"">(in dollars)</span></br></br></th><th scope=""col""><span class=""stressed_text_1"">Sales</span><br><span class=""stressed_text_1"">per Month</span><br><span class=""stressed_text_1"">(in dollars)</span></br></br></th></tr><tr><td>DanceHopper</td><td>1,800</td><td>2,200</td></tr><tr><td>MaxiBlast</td><td>1,200</td><td>2,100</td></tr><tr><td>FantasyRing</td><td>800</td><td>1,500</td></tr><tr><td>RaceCarRoute</td><td>400</td><td>1,200</td></tr></tbody></table><div class=""paragraph""></div></div><div class=""paragraph"">The owner of a video arcade pays a monthly rental fee for each video-game machine. She wants to add an additional game to the arcade.</div><div class=""paragraph"">Based on the information above, which video-game machine gives the arcade owner the greatest incentive to place it in her arcade?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span> DanceHopper</span></span></div>
<div>B. <span class=""itemtext""><span>MaxiBlast</span></span></div>
<div>C. <span class=""itemtext""><span> FantasyRing</span></span></div>
<div>D. <span class=""itemtext""><span> RaceCarRoute</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E1 #3 E000201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>The purchasing power of money</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>28. <div class=""paragraph"">An increase in the rate of inflation will result in a <span class=""stressed_text_3"">decrease</span> in which of the following?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Federal and state income taxes</span></span></div>
<div>B. <span class=""itemtext""><span>The purchasing power of money</span></span></div>
<div>C. <span class=""itemtext""><span>The level of prices</span></span></div>
<div>D. <span class=""itemtext""><span>Interest rates</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E1 #6 E000501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>The prices of imported goods</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>29. <div class=""paragraph"">Two countries are currently trading with each other. The countries agree to remove all trade restrictions on products traded between them. Which of the following is most likely to <span class=""stressed_text_3"">decrease</span>?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The variety of goods available</span></span></div>
<div>B. <span class=""itemtext""><span>The prices of imported goods</span></span></div>
<div>C. <span class=""itemtext""><span>The quality of goods available</span></span></div>
<div>D. <span class=""itemtext""><span>The amount of imported goods</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E1 #7 E000601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>  Increase      Increase              Increase</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>30. <div class=""paragraph"">The owners of Grass Cutters, a lawn-mowing service, decide to purchase four additional mowers because demand for their services is increasing. The owners make this decision projecting that the output, total costs, and total revenues of their business will change in which of the following ways?</div><div class=""paragraph"">                <span class=""stressed_text_3"">Output</span>        <span class=""stressed_text_3"">Total Costs</span>        <span class=""stressed_text_3"">Total Revenues</span></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>  Increase      Increase              Increase</span></span></div>
<div>B. <span class=""itemtext""><span>  Increase      Increase              Decrease</span></span></div>
<div>C. <span class=""itemtext""><span>  Increase      Decrease             Increase</span></span></div>
<div>D. <span class=""itemtext""><span>  Decrease     Decrease             Increase</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E1 #10 E000901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The increase in profit expected from producing the product</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>31. <div class=""paragraph"">An entrepreneur is considering spending money on research to develop a more efficient way to produce a product. What is the most important factor in the decision on whether or not to spend this money?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The size of the plant needed to produce the product</span></span></div>
<div>B. <span class=""itemtext""><span>The number of competitors producing a similar product</span></span></div>
<div>C. <span class=""itemtext""><span>The increase in profit expected from producing the product</span></span></div>
<div>D. <span class=""itemtext""><span>The degree to which consumers consider the product a necessity</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E1 #14 E001301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>People will buy another unit as long as its benefit is greater than its cost.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>32. <div class=""paragraph"">Which of the following best describes the amount of a product that people will continue to buy at a given price?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>People will buy as many units as they can afford.</span></span></div>
<div>B. <span class=""itemtext""><span>People will buy another unit unless its benefit is zero.</span></span></div>
<div>C. <span class=""itemtext""><span>People will buy another unit as long as its benefit is positive.</span></span></div>
<div>D. <span class=""itemtext""><span>People will buy another unit as long as its benefit is greater than its cost.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E1 #15 E001401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The value of Country X's currency will decrease; the value of Country Y's currency will increase.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>33. <div class=""paragraph"">If consumers from Country X greatly increase their purchases of products from Country Y, the value of these two countries' currencies relative to one another will change in which of the following ways?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The values of both countries' currencies will increase.</span></span></div>
<div>B. <span class=""itemtext""><span>The value of Country X's currency will increase; the value of Country Y's currency will decrease.</span></span></div>
<div>C. <span class=""itemtext""><span>The value of Country X's currency will decrease; the value of Country Y's currency will increase.</span></span></div>
<div>D. <span class=""itemtext""><span>The values of both countries' currencies will decrease.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #2 E001801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Consumers weigh the additional costs and benefits before buying more goods.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>34. <div class=""paragraph"">Willie loves ice-cream cones. He has found a store that sells ice-cream cones at a bargain price of $0.50 each. He has just eaten two of these cones but has decided not to buy a third one. Which of the following statements best explains the economic principle at work in Willie's decision not to buy a third cone?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Consumers weigh the additional costs and benefits before buying more goods.</span></span></div>
<div>B. <span class=""itemtext""><span>Consumers spend freely to increase business activity so that the price of goods will drop.</span></span></div>
<div>C. <span class=""itemtext""><span>Consumers save more by buying larger quantities.</span></span></div>
<div>D. <span class=""itemtext""><span>Consumers buy more at lower prices.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #6 E002201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Economic growth</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>35. <div class=""paragraph"">Which of the following has been most important in reducing poverty over time?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Taxes</span></span></div>
<div>B. <span class=""itemtext""><span>Economic growth</span></span></div>
<div>C. <span class=""itemtext""><span>International trade</span></span></div>
<div>D. <span class=""itemtext""><span>Government regulations</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #8 E002401</span></div></div>"
