answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>$3,000</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>11. Last year Emery's annual salary was $20,000. At the end of the year, Emery received a $2,000 raise. Six months later the company increased Emery's salary again because he finished his master's degree. His new salary is $25,000. What is the additional benefit of his having earned a master's degree?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>$25,000</span></span></div>
<div>B. <span class=""itemtext""><span>$22,000</span></span></div>
<div>C. <span class=""itemtext""><span>$5,000</span></span></div>
<div>D. <span class=""itemtext""><span>$3,000</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #18 E416601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Human resources</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>12. <div class=""paragraph""><div class=""stdaln_img""><img alt=""Image of a newspaper headline that states: Local School District Hires New Teachers"" class=""inln_img"" height=""520px"" src=""./EconomicsEasy_files/ItemResource"" title=""Image of a newspaper headline that states: Local School District Hires New Teachers"" width=""514px""/></div></div><br>The headline above refers to which of the following productive resources?</br></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Natural resources</span></span></div>
<div>B. <span class=""itemtext""><span>Human resources</span></span></div>
<div>C. <span class=""itemtext""><span>Capital goods</span></span></div>
<div>D. <span class=""itemtext""><span>Renewable resources</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E9 #20 E416801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Prices are determined by the interaction of buyers and sellers.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>13. Which of the following is a characteristic of a market economy?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Prices are determined by the interaction of buyers and sellers.</span></span></div>
<div>B. <span class=""itemtext""><span>Government determines the quantity of goods purchased.</span></span></div>
<div>C. <span class=""itemtext""><span>Tax policies are used to eliminate scarcity.</span></span></div>
<div>D. <span class=""itemtext""><span>Deregulation serves to limit most imports.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #1 E416901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>$400</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>14. <div class=""paragraph""><div class=""stdaln_img""><img alt=""A graph of Supply and Demand in the Digital Camera Market. The y-axis is labeled Price (in dollars) and goes in 100 dollar increments from 200 to 500. The x-axis is labeled Quantity (in thousands)  and goes in in 100 amount increments from 100 to 400. The Supply and Demand lines intersect at 200 thousand (quantity) and 400 (price)."" class=""inln_img"" height=""378px"" src=""./EconomicsEasy_files/ItemResource(1)"" title=""A graph of Supply and Demand in the Digital Camera Market. The y-axis is labeled Price (in dollars) and goes in 100 dollar increments from 200 to 500. The x-axis is labeled Quantity (in thousands)  and goes in in 100 amount increments from 100 to 400. The Supply and Demand lines intersect at 200 thousand (quantity) and 400 (price)."" width=""367px""/></div></div><br><br>According to the graph above, which of the following is the equilibrium price for digital cameras?</br></br></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>$200</span></span></div>
<div>B. <span class=""itemtext""><span>$300</span></span></div>
<div>C. <span class=""itemtext""><span>$400</span></span></div>
<div>D. <span class=""itemtext""><span>$500</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #11 E417901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>A decrease in the number of competitors in the market</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>15. Which of the following would give a business more control over the price of its product?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>A decrease in consumers' incomes</span></span></div>
<div>B. <span class=""itemtext""><span>A decrease in the number of competitors in the market</span></span></div>
<div>C. <span class=""itemtext""><span>An increase in the number of substitute goods available</span></span></div>
<div>D. <span class=""itemtext""><span>An increase in the cost of production</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2012-12E10 #17 E418501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Economic growth in oil-importing countries would decrease.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>16. <div class=""paragraph"">If there were a decrease in the worldwide production of oil, which of the following would most likely occur?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Global consumption of oil would increase.</span></span></div>
<div>B. <span class=""itemtext""><span>Economic growth in oil-importing countries would decrease.</span></span></div>
<div>C. <span class=""itemtext""><span>International spending on research into alternative energy sources would decrease.</span></span></div>
<div>D. <span class=""itemtext""><span>Global exploration for new oil reserves would decrease.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E1 #5 E000401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Businesses will increase production, and workers will receive more income.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>17. <div class=""paragraph"">What is most likely to happen when consumers increase their purchases of goods and services?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Businesses will increase production, and workers will receive more income.</span></span></div>
<div>B. <span class=""itemtext""><span>Businesses will increase production, and workers will receive less income.</span></span></div>
<div>C. <span class=""itemtext""><span>Businesses will decrease production, and workers will receive more income.</span></span></div>
<div>D. <span class=""itemtext""><span>Businesses will decrease production, and workers will receive less income.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E1 #13 E001201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The supply of wheat has decreased.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>18. <div class=""paragraph"">Which of the following best describes why the price of wheat might rise following a poor wheat harvest?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The demand for wheat has decreased.</span></span></div>
<div>B. <span class=""itemtext""><span>The demand for wheat has increased.</span></span></div>
<div>C. <span class=""itemtext""><span>The supply of wheat has decreased.</span></span></div>
<div>D. <span class=""itemtext""><span>The supply of wheat has increased.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E1 #17 E001601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>The restaurant's costs are higher than its revenues.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>19. <div class=""paragraph"">Which of the following is the most likely economic explanation for why a local restaurant that is busy and has many loyal customers could go out of business?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The restaurant is spending too little on advertising.</span></span></div>
<div>B. <span class=""itemtext""><span>The restaurant is paying too little for rent and food.</span></span></div>
<div>C. <span class=""itemtext""><span>The restaurant has more customers than it needs.</span></span></div>
<div>D. <span class=""itemtext""><span>The restaurant's costs are higher than its revenues.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #1 E001701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>More consumers will buy new cars.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>20. <div class=""paragraph"">Auto dealers begin to offer new cars for sale with no down payment required and an interest rate of 0 percent. Which of the following is most likely to occur?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Sales of new cars will decrease.</span></span></div>
<div>B. <span class=""itemtext""><span>More consumers will buy new cars.</span></span></div>
<div>C. <span class=""itemtext""><span>More people will use public transportation.</span></span></div>
<div>D. <span class=""itemtext""><span>Prices of used cars will increase.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #3 E001901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>The additional revenue generated by the commercials would be greater than $25 million plus the costs of producing the additional clothing.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>21. <div class=""paragraph"">A profit-maximizing company that manufactures sports clothing wants to spend $25 million to have a professional athlete appear in commercials for its clothing. Which of the following is the best economic reason for the company to spend the money?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The company sells $25 million worth of clothing per year.</span></span></div>
<div>B. <span class=""itemtext""><span>The company could cover the cost of the athlete's contract with profits from previous years.</span></span></div>
<div>C. <span class=""itemtext""><span>The additional revenue generated by the commercials would be greater than the additional costs of producing the clothing.</span></span></div>
<div>D. <span class=""itemtext""><span>The additional revenue generated by the commercials would be greater than $25 million plus the costs of producing the additional clothing.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #5 E002101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Housing prices in Country A will increase as wood imports become more expensive.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>22. <div class=""paragraph"">Because Country A has no domestic sources of wood, it imports all its wood from wood-producing countries. If the price of wood in wood-producing countries rises substantially, which of the following is most likely to occur?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Country A will import more wood to meet rising demand.</span></span></div>
<div>B. <span class=""itemtext""><span>Country A will impose a tariff on wood imports.</span></span></div>
<div>C. <span class=""itemtext""><span>Housing prices in Country A will increase as wood imports become more expensive.</span></span></div>
<div>D. <span class=""itemtext""><span>Profits in other wood-producing countries will increase because of increased exports to Country A.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #7 E002301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Fringe benefits and work rules</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>23. <div class=""paragraph"">Other than wages, what are two issues commonly addressed by collective bargaining between labor unions and employers?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Amount of stock to issue and selection of union leaders</span></span></div>
<div>B. <span class=""itemtext""><span>Corporate image and company location</span></span></div>
<div>C. <span class=""itemtext""><span>Fringe benefits and work rules</span></span></div>
<div>D. <span class=""itemtext""><span>Selection of corporate leaders and advertising</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #12 E002801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>They will be charged higher rates of interest on loans than people with good credit histories.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>24. <div class=""paragraph"">Which of the following is true of people with poor credit histories?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>They will earn higher rates of interest on savings accounts than people with good credit histories.</span></span></div>
<div>B. <span class=""itemtext""><span>They will earn lower rates of interest on savings accounts than people with good credit histories.</span></span></div>
<div>C. <span class=""itemtext""><span>They will be charged higher rates of interest on loans than people with good credit histories.</span></span></div>
<div>D. <span class=""itemtext""><span>They will be charged lower rates of interest on loans than people with good credit histories.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #18 E003401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Increase             Decrease</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>25. <div class=""paragraph"">Recently, the hourly wage that parents are willing to pay babysitters increased dramatically. Higher pay will most likely cause which of the following changes in how babysitters divide their out-of-school time between babysitting and other activities?</div><div class=""paragraph""></div><div class=""paragraph"">              Time Spent        Time Spent<br>             <span class=""stressed_text_3""> Babysitting</span>       <span class=""stressed_text_3""> on Other Activities</span></br></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>No Change         Decrease</span></span></div>
<div>B. <span class=""itemtext""><span>Increase             Decrease</span></span></div>
<div>C. <span class=""itemtext""><span>Decrease            No Change</span></span></div>
<div>D. <span class=""itemtext""><span>Increase             Increase</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E4 #6 E005901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Interest</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>26. <div class=""paragraph"">James borrows $10,000 from the bank. By the time the loan is repaid, James has paid the bank $10,400. What does the additional $400 represent?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Inflation rate</span></span></div>
<div>B. <span class=""itemtext""><span>Purchasing power of money</span></span></div>
<div>C. <span class=""itemtext""><span>Interest</span></span></div>
<div>D. <span class=""itemtext""><span>Investment</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E4 #10 E006301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>  Increase                  Increase</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>27. <div class=""paragraph"">When people's incomes increase, the demand for roses and the price of roses are most likely to change in which of the following ways?</div><div class=""paragraph""></div><div class=""paragraph"">          <span class=""stressed_text_3"">Demand for Roses</span>          <span class=""stressed_text_3"">Price</span></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>  Decrease                 Decrease</span></span></div>
<div>B. <span class=""itemtext""><span>  Decrease                 Increase</span></span></div>
<div>C. <span class=""itemtext""><span>  Increase                  Decrease</span></span></div>
<div>D. <span class=""itemtext""><span>  Increase                  Increase</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E4 #11 E006401</span></div></div>"
