answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Boston and New York City</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=ff11c0c1-0351-4424-8ac8-1e754ac92040"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=5f7460c1-1497-45ab-b611-5113edfe6714"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=96d173b8-d4e0-47ec-bcca-ccd844b9a3f4"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bb3d4ae2-eec1-472a-9d53-a8223da09737"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>11. <div class=""paragraph"">A megalopolis is defined as a ""supercity"" made up of large cities with highly populated areas in between them. Look at the United States population map on page 41 of the atlas. Which pair of cities is part of a megalopolis?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Denver and Salt Lake City</span></span></div>
<div>B. <span class=""itemtext""><span>Oklahoma City and Dallas</span></span></div>
<div>C. <span class=""itemtext""><span>Boston and New York City</span></span></div>
<div>D. <span class=""itemtext""><span>Kansas City and St. Louis</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-4G7 #3 G031701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>South America and Africa</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=ff11c0c1-0351-4424-8ac8-1e754ac92040"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=5f7460c1-1497-45ab-b611-5113edfe6714"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=96d173b8-d4e0-47ec-bcca-ccd844b9a3f4"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bb3d4ae2-eec1-472a-9d53-a8223da09737"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><div class=""paragraph"">Question is based on the world map on pages 6 and 7 of the atlas and the complete legend on page 5.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""></div></div></div><br>12. <div class=""paragraph"">Which two continents lie mainly in the tropics?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Antarctica and Africa</span></span></div>
<div>B. <span class=""itemtext""><span>South America and Africa</span></span></div>
<div>C. <span class=""itemtext""><span>South America and Asia</span></span></div>
<div>D. <span class=""itemtext""><span>North America and Europe</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-4G7 #7 G032101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>South America and Africa</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=ff11c0c1-0351-4424-8ac8-1e754ac92040"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=5f7460c1-1497-45ab-b611-5113edfe6714"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=96d173b8-d4e0-47ec-bcca-ccd844b9a3f4"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bb3d4ae2-eec1-472a-9d53-a8223da09737"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><div class=""paragraph"">Question is based on the world map on pages 6 and 7 of the atlas and the complete legend on page 5.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""></div></div></div><br>13. <div class=""paragraph"">Which two continents lie mainly in the tropics?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Antarctica and Africa</span></span></div>
<div>B. <span class=""itemtext""><span>South America and Africa</span></span></div>
<div>C. <span class=""itemtext""><span>South America and Asia</span></span></div>
<div>D. <span class=""itemtext""><span>North America and Europe</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-4G7 #7 G032101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Columbus, Ohio</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=ff11c0c1-0351-4424-8ac8-1e754ac92040"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=5f7460c1-1497-45ab-b611-5113edfe6714"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=96d173b8-d4e0-47ec-bcca-ccd844b9a3f4"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bb3d4ae2-eec1-472a-9d53-a8223da09737"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>14. <div class=""paragraph"">Using the map of the United States on pages 34 and 35, find the 40th parallel (40° N. latitude). Follow it from east to west. Which of the following state capitals is located nearest the 40th parallel?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Columbus, Ohio</span></span></div>
<div>B. <span class=""itemtext""><span>Nashville, Tennessee</span></span></div>
<div>C. <span class=""itemtext""><span>Little Rock, Arkansas</span></span></div>
<div>D. <span class=""itemtext""><span>Salt Lake City, Utah</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-4G7 #8 G032201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Afghanistan</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=ff11c0c1-0351-4424-8ac8-1e754ac92040"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=5f7460c1-1497-45ab-b611-5113edfe6714"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=96d173b8-d4e0-47ec-bcca-ccd844b9a3f4"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bb3d4ae2-eec1-472a-9d53-a8223da09737"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><div class=""paragraph"">Question is based on the map of Asia on pages 78 and 79 of the atlas.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""></div></div></div><br>15. <div class=""paragraph"">Which of the following countries borders Iran?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>India</span></span></div>
<div>B. <span class=""itemtext""><span>Afghanistan</span></span></div>
<div>C. <span class=""itemtext""><span>Russia</span></span></div>
<div>D. <span class=""itemtext""><span>Uzbekistan</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-4G7 #11 G032501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Afghanistan</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=ff11c0c1-0351-4424-8ac8-1e754ac92040"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=5f7460c1-1497-45ab-b611-5113edfe6714"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=96d173b8-d4e0-47ec-bcca-ccd844b9a3f4"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bb3d4ae2-eec1-472a-9d53-a8223da09737"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><div class=""paragraph"">Question is based on the map of Asia on pages 78 and 79 of the atlas.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""></div></div></div><br>16. <div class=""paragraph"">Which of the following countries borders Iran?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>India</span></span></div>
<div>B. <span class=""itemtext""><span>Afghanistan</span></span></div>
<div>C. <span class=""itemtext""><span>Russia</span></span></div>
<div>D. <span class=""itemtext""><span>Uzbekistan</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-4G7 #11 G032501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Nebraska</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=ff11c0c1-0351-4424-8ac8-1e754ac92040"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=5f7460c1-1497-45ab-b611-5113edfe6714"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=96d173b8-d4e0-47ec-bcca-ccd844b9a3f4"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bb3d4ae2-eec1-472a-9d53-a8223da09737"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>17. <div class=""paragraph"">Look first at the irrigation map on page 38 and then look at the map of the United States on pages 34 and 35. Which state has the most irrigated land?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Iowa</span></span></div>
<div>B. <span class=""itemtext""><span>Oklahoma</span></span></div>
<div>C. <span class=""itemtext""><span>Alabama</span></span></div>
<div>D. <span class=""itemtext""><span>Nebraska</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-4G7 #13 G032701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Lake Superior</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the map below.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""></div><div class=""stdaln_img""><img alt=""Map of United States and Canada with states and provinces outlined. Lake Superior is labeled 1 and the Mississippi River is labeled 2."" class=""inln_img"" height=""400"" src=""./GeoGraphyMed_files/ItemResource(7)"" title=""Map of United States and Canada with states and provinces outlined. Lake Superior is labeled 1 and the Mississippi River is labeled 2."" width=""590""/></div><div class=""paragraph""></div></div></div><br>18. <div class=""paragraph"">The number 1 on the map shows</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Hudson Bay</span></span></div>
<div>B. <span class=""itemtext""><span>the Great Salt Lake</span></span></div>
<div>C. <span class=""itemtext""><span>Lake Superior</span></span></div>
<div>D. <span class=""itemtext""><span>the Gulf of California</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-4G8 #2 G012202</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>a peninsula</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>19. <div class=""paragraph"">Florida is an example of</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>an isthmus</span></span></div>
<div>B. <span class=""itemtext""><span>an island</span></span></div>
<div>C. <span class=""itemtext""><span>a peninsula</span></span></div>
<div>D. <span class=""itemtext""><span>a plateau</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-4G8 #10 G012601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>volume of trade</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question is based on the following map.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""></div><div class=""stdaln_img""><img alt=""Map titled Movement of an Important International Product. Map contains arrows showing movement with many arrows flowing from the Middle East."" class=""inln_img"" height=""335"" src=""./GeoGraphyMed_files/ItemResource(8)"" title=""Map titled Movement of an Important International Product. Map contains arrows showing movement with many arrows flowing from the Middle East."" width=""593""/></div><div class=""paragraph""></div></div></div><br>20. <div class=""paragraph"">The varying widths of the lines on the map most probably indicate the</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>strength of ocean currents</span></span></div>
<div>B. <span class=""itemtext""><span>type of trade</span></span></div>
<div>C. <span class=""itemtext""><span>volume of trade</span></span></div>
<div>D. <span class=""itemtext""><span>type of transportation used</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G5 #5 G016301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>increasing their control of markets and prices for their product</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>21. <div class=""paragraph"">Major oil-producing nations joined together to form the Organization of Petroleum Exporting Countries (OPEC) as a means of</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>increasing their control of markets and prices for their product</span></span></div>
<div>B. <span class=""itemtext""><span>limiting the access of other nations to solar power</span></span></div>
<div>C. <span class=""itemtext""><span>promoting the production of high-quality fossil fuels</span></span></div>
<div>D. <span class=""itemtext""><span>improving communication and transportation among developing nations</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G5 #10 G016601</span></div></div>"
